V1 V2 V3 V4 V5 V6 V7 V8 V9 V10
23 -0.150345325469971 4.22575212724041e-05 1.84415830517537e-06 -4.15978604451084e-07 2.65113300201847e-08 1.5691929888817e-07 -7.50019353290554e-08 1.6395787838519e-08 -2.77770517698173e-08 1.8516038480243e-08
24 -0.147797644138336 -5.64344954909757e-05 -2.6083739612659e-06 5.64909782951872e-07 -4.66428247136719e-08 -2.59711356420667e-07 6.61170957982904e-08 -7.93273358112856e-08 1.11452038709103e-08 -3.91689773948656e-08
25 -0.152001470327377 6.599206244573e-05 3.94780909118708e-06 -7.27070244010974e-07 8.4041431591686e-08 2.7053607709604e-07 -1.13724887285116e-07 4.25231263534442e-08 -3.85278653425303e-08 2.78640097661764e-08
26 -0.149942189455032 1.54649460455403e-05 9.63872025749879e-07 -2.01745933736674e-07 2.10534523148453e-08 4.89656599711452e-08 -3.7538427477557e-08 -8.12035949593337e-09 -1.76923347083857e-08 1.48659040632992e-09
27 -0.149252727627754 7.99135159468278e-06 4.00282715418143e-07 -8.49222487886436e-08 3.34814842517517e-09 1.84707289463404e-08 -2.37091342114581e-08 -1.63431010946624e-08 -1.42983100914762e-08 -1.83435489020667e-09
28 -0.150076121091843 1.61441130330786e-05 1.10783958007232e-06 -2.3157519990491e-07 2.29301235776802e-08 5.06722415138938e-08 -3.80520077669644e-08 -7.40948280508746e-09 -1.85076132197537e-08 1.35550237700954e-09
29 -0.150436133146286 3.80229867005255e-05 1.85040062206099e-06 -4.12780707392812e-07 4.0671025658412e-08 1.47765518931919e-07 -6.81928185031211e-08 1.29714763374977e-08 -2.64901984792232e-08 1.5382189744173e-08
30 -0.148831591010094 -5.87772956350818e-06 -4.48615537607111e-07 6.62083721181261e-08 -1.11765530164121e-08 -4.96869176913606e-08 -2.88677881599142e-09 -3.05132061839686e-08 -8.3681790385981e-09 -8.9000096181735e-09
31 -0.15032547712326 3.37403471348807e-05 1.85759881787817e-06 -3.42128373631567e-07 4.53534454436522e-08 1.13100981025127e-07 -6.15562427697114e-08 9.49314937770396e-09 -2.45885374283716e-08 1.20280478910217e-08
32 -0.147552564740181 -1.94809908862226e-05 -1.4266233847593e-06 2.20754373003729e-07 -4.09634708375961e-08 -1.21597196311996e-07 1.96052951650927e-08 -4.38880149999932e-08 -3.14705417281402e-09 -1.52053978297317e-08
33 -0.146553531289101 -4.87391444039531e-05 -2.9250695661176e-06 5.256097210804e-07 -7.24444220168152e-08 -2.49223347736915e-07 6.33110204262266e-08 -7.25675093349309e-08 8.60709548078376e-09 -3.15723163168968e-08
34 -0.152599036693573 6.8058492615819e-05 4.57889291283209e-06 -8.69959308147372e-07 1.00086310794723e-07 2.74486581020028e-07 -1.20908481449078e-07 4.71528913692509e-08 -4.17527523666195e-08 2.6487667170727e-08
35 -0.148200273513794 -1.34974834509194e-05 -9.30180249270052e-07 1.41034888656577e-07 -2.82168031162655e-08 -9.06222226149112e-08 9.00487862054433e-09 -3.7432840827023e-08 -5.80125458782277e-09 -1.27999264520895e-08
36 -0.147044569253922 -3.1429597584065e-05 -2.07137054530904e-06 3.45750777341891e-07 -5.50008110167255e-08 -1.71475818433464e-07 3.79938853711792e-08 -5.59211130735093e-08 1.82694037675901e-09 -2.17148148351498e-08
37 -0.152338281273842 5.13414233864751e-05 3.54199983121362e-06 -7.00304383371986e-07 8.06719882007201e-08 1.97900277498775e-07 -9.60261203886148e-08 2.99504563372466e-08 -3.49843318758758e-08 1.7983794009524e-08
38 -0.149349749088287 -6.0043967096135e-06 -1.94516815099632e-07 5.37755795448902e-08 -1.13779066168718e-08 -5.4300215879266e-08 -3.92536492199724e-09 -2.94799420430536e-08 -9.13031428240174e-09 -1.02765653764436e-08
